channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8
-161087.8125,-81077.84375,-108743.8984,-154234.9063,-187500.0156,-148189.0781,-158211.4531,-187500.0156
-161092.7344,-81091.32813,-108747.3594,-154371.9688,-187500.0156,-148204.9375,-158324.7969,-187500.0156
-161074.4219,-81077.73438,-108756.6563,-154156.0938,-187500.0156,-148179.3281,-158166.6875,-187500.0156
-161060.9688,-81063.25,-108755.4297,-153994.3594,-187500.0156,-148156.5313,-158031.0313,-187500.0156
-161069,-81074.17969,-108748.6094,-154185,-187500.0156,-148179.1406,-158163.2188,-187500.0156
-161075.9688,-81092.21875,-108746.6484,-154366.7813,-187500.0156,-148203.5938,-158301.8438,-187500.0156
-161057.75,-81085.28906,-108751.9688,-154190.875,-187500.0156,-148181.4219,-158185.9844,-187500.0156
-161044.6563,-81071.29688,-108751.1172,-153983.6875,-187500.0156,-148151.5,-158018.9219,-187500.0156
-161057.75,-81077.3125,-108737.8828,-154128.9844,-187500.0156,-148163.6563,-158106.1563,-187500.0156
-161072.1094,-81092.92969,-108732.1406,-154360.9531,-187500.0156,-148192.4688,-158284.75,-187500.0156
-161062.5625,-81086.82813,-108740.4531,-154247.4063,-187500.0156,-148180.2813,-158223.6563,-187500.0156
-161049.4219,-81068.23438,-108747.3203,-154008.4844,-187500.0156,-148149.3438,-158053.5,-187500.0156
-161058.5625,-81069.30469,-108741.3906,-154086.625,-187500.0156,-148158.4063,-158087.4531,-187500.0156
-161074.1563,-81088.64063,-108738.5781,-154336.9688,-187500.0156,-148194.8438,-158267.25,-187500.0156
-161065.5156,-81090.09375,-108745.125,-154283,-187500.0156,-148191.7031,-158252.75,-187500.0156
-161048.3906,-81072.17188,-108750.0625,-154021.5781,-187500.0156,-148159.4375,-158067.1406,-187500.0156
-161052.0313,-81067.58594,-108741.6641,-154032.5156,-187500.0156,-148158,-158059.9063,-187500.0156
-161069.8906,-81085.02344,-108733.75,-154295.0313,-187500.0156,-148192.7813,-158247.1094,-187500.0156
-161068.0938,-81090.53906,-108739.2891,-154316.3281,-187500.0156,-148197.7813,-158284.1094,-187500.0156
-161050.2656,-81074.80469,-108750.8672,-154062.5,-187500.0156,-148167.3906,-158103.9844,-187500.0156
-161048.7656,-81068.59375,-108747.2031,-154009.3125,-187500.0156,-148160.2656,-158044.9531,-187500.0156
-161063.3906,-81084.66406,-108737.3906,-154255.7813,-187500.0156,-148190.2813,-158216.4375,-187500.0156
-161063.6094,-81092.46094,-108739.2891,-154337.5625,-187500.0156,-148201.8594,-158289.5938,-187500.0156
-161048.5,-81078.875,-108747.3594,-154095.4063,-187500.0156,-148173.2188,-158111.8594,-187500.0156
-161045.7031,-81068.1875,-108744.5703,-153985.4219,-187500.0156,-148159.4844,-158031.1875,-187500.0156
-161061.8438,-81080.90625,-108733.1641,-154217.8125,-187500.0156,-148186.3438,-158193.6406,-187500.0156
-161068.7344,-81096.21875,-108736.0078,-154366.25,-187500.0156,-148203.875,-158297.7813,-187500.0156
-161050.5156,-81084.46094,-108747.4531,-154151.8281,-187500.0156,-148179.4219,-158153.3281,-187500.0156
-161039.4531,-81069.08594,-108746.7578,-153975.7969,-187500.0156,-148157.0781,-158021.9219,-187500.0156
-161052.75,-81079.5,-108735.7813,-154162.8594,-187500.0156,-148176.7813,-158143.8594,-187500.0156
-161063.4688,-81096.91406,-108735.5156,-154362.0156,-187500.0156,-148202.3281,-158285.2344,-187500.0156
-161053.9063,-81090.94531,-108746.6719,-154204.0313,-187500.0156,-148184.0625,-158187.625,-187500.0156
-161042.4844,-81073.73438,-108752.1406,-153991.5156,-187500.0156,-148156.3906,-158037.1563,-187500.0156
-161052.9688,-81077.08594,-108741.9531,-154118.0781,-187500.0156,-148173.2031,-158111.6094,-187500.0156
-161071.2344,-81095.28125,-108738.4219,-154354.6719,-187500.0156,-148203.5313,-158282.4688,-187500.0156
-161063.9063,-81090.60938,-108749.0859,-154253.4844,-187500.0156,-148193.8594,-158223.0781,-187500.0156
-161047.6563,-81069.13281,-108755.7656,-154006.5625,-187500.0156,-148164.8125,-158047.3594,-187500.0156
-161055.6563,-81068.79688,-108745.7266,-154072.2344,-187500.0156,-148169.0625,-158091.7813,-187500.0156
-161073.5313,-81088.08594,-108738.2656,-154331.8906,-187500.0156,-148200.4219,-158287.25,-187500.0156
-161068.7656,-81090.09375,-108747.5859,-154296.8906,-187500.0156,-148198.0938,-158257.375,-187500.0156
-161053.6875,-81073.78125,-108756.125,-154038.1875,-187500.0156,-148166,-158065.5938,-187500.0156
-161057.1875,-81072.10156,-108749.9766,-154033.625,-187500.0156,-148163.2344,-158047.5938,-187500.0156
-161072.2188,-81091.32813,-108743.6484,-154294.5313,-187500.0156,-148196.25,-158244.2188,-187500.0156
-161067.9844,-81098.21094,-108750.8281,-154331.125,-187500.0156,-148205.2969,-158288.1406,-187500.0156
-161048.6094,-81080.86719,-108760.5078,-154074.625,-187500.0156,-148177.0156,-158096.0938,-187500.0156
-161045.8594,-81073.48438,-108757.5781,-153999.7188,-187500.0156,-148167.1719,-158031.9219,-187500.0156
-161058.9219,-81087.96875,-108746.1953,-154246.0625,-187500.0156,-148194.4531,-158208.8281,-187500.0156
-161060.6563,-81097.15625,-108748.9219,-154352.2969,-187500.0156,-148209.9531,-158294.4063,-187500.0156
-161043.5781,-81082.09375,-108757.1953,-154123.0781,-187500.0156,-148180.6406,-158134.6094,-187500.0156
-161040,-81068.67969,-108752.4609,-153996.7969,-187500.0156,-148160.75,-158041.3594,-187500.0156
